fn,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw
tsne_baseline,828389,221725,60096,334,2796,125,290,956,53
tsne_scalar,585792,200145,52168,95,3370,66,72,2,3
tsne_vec,553213,178676,69475,165,1957,771,158,7,701
tsne_vec3,478623,174583,57443,50,2056,759,50,0,702
tsne_no_vars,427284,156782,41859,34,2041,56,34,1,3
