fn,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw
tsne_baseline,2636967137,758797545,159056794,312,24742188,59296549,311,7480544,13269939
tsne_scalar,1887232167,730953058,158844738,89,26321666,31363538,89,10621233,8212327
tsne_vec,574009662,356499849,76706025,201,31780799,31484617,201,10494160,8210670
tsne_vec3,382021740,346750150,30941962,59,15920700,5184849,59,4811914,1825543
tsne_no_vars,427115514,332465214,20290892,35,10023300,161006,35,191366,76462
