fn,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw
tsne_baseline,42311309,12066598,2598169,310,399693,254943,268,6440,29
tsne_scalar,30322386,11556749,2567285,93,421042,153638,71,2,10
tsne_vec,10667854,6046287,1416710,196,323871,163215,167,16,5606
tsne_vec3,7568789,5904066,714619,50,217337,59282,50,0,5610
tsne_no_vars,7736265,5553422,456580,35,154864,2512,35,0,9
