fn,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw
tsne_baseline,2905588,804444,191152,340,12635,363,293,1744,56
tsne_scalar,2079235,752905,179917,96,13996,267,72,1,4
tsne_vec,1023265,477539,136370,190,7571,1644,182,20,1402
tsne_vec3,795447,468370,93130,50,7544,1606,50,0,1403
tsne_no_vars,719119,425169,59562,34,7528,186,34,0,4
