fn,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw
tsne_baseline,661729323,190167733,40013209,308,6244566,14818438,307,25451,32973
tsne_scalar,473708106,183042602,39902992,94,6622940,7833416,94,25313,30057
tsne_vec,147451026,90218488,19674963,190,5155984,7873781,190,25323,47926
tsne_vec3,99221272,87809674,8267956,50,3373980,1288158,50,25292,39986
tsne_no_vars,109211411,83933758,5390533,35,2519835,43412,35,25212,8710
