fn,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw
tsne_baseline,42072688917,12118455331,2533083037,312,706936727,964441739,311,379539651,940141651
tsne_scalar,30104564181,11680721923,2532248131,88,571119850,518899423,88,405642515,497677028
tsne_vec,8993998158,5651377031,1203232532,210,527468640,513337583,210,261397609,496318498
tsne_vec3,5936138041,5494521714,469757925,50,273988850,93608871,50,156560432,79885895
tsne_no_vars,6715103200,5279904245,309051801,36,198366553,14474645,36,103956681,1359387
