fn,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw
tsne_baseline,270922,68967,23512,333,693,57,291,551,33
tsne_scalar,182977,57222,16895,81,452,5,62,3,2
tsne_vec,222610,68031,30291,166,195,365,150,8,345
tsne_vec3,178426,59314,24163,43,479,365,43,0,354
tsne_no_vars,148864,51813,15771,34,457,14,34,1,2
