fn,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw
tsne_baseline,10528059326,3031467991,634253211,312,98712039,236928006,311,85144059,208950719
tsne_scalar,7533737583,2921388774,633833538,89,131453729,125351417,89,91115419,111365670
tsne_vec,2264350618,1417228361,302811722,201,127703932,125528115,201,62573208,111095128
tsne_vec3,1498658650,1378076043,119539841,50,64378345,20505885,50,36803058,19078580
tsne_no_vars,1688761295,1323285695,78575226,35,46508263,616902,35,23619805,342992
