fn,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw
tsne_baseline,10909396,3080754,684634,313,61982,39908,271,3309,29
tsne_scalar,7823316,2929785,666983,96,57413,6260,71,2,2
tsne_vec,3150526,1648238,418171,188,39684,13998,168,16,2801
tsne_vec3,2415852,1626389,254516,50,31695,3675,50,0,2806
tsne_no_vars,2242899,1492528,154800,35,27659,630,35,0,5
